date,value
2009-09-06,0.22747919
2009-09-14,0.23381662
2009-09-22,0.23480129
2009-09-30,0.23782507
2009-10-08,0.27935222
2009-10-16,0.28102392
2009-10-24,0.42789736
2009-11-01,0.48365846
2009-11-09,0.52260494
2009-11-17,0.56155145
2009-11-25,0.6218964
2009-12-03,0.5934718
2009-12-11,0.657578
2009-12-19,0.6488046
2009-12-27,0.6494144
2010-01-01,0.65002424
2010-01-09,0.6520605
2010-01-17,0.6449636
2010-01-25,0.6378667
2010-02-02,0.61326444
2010-02-10,0.62949115
2010-02-18,0.632107
2010-02-26,0.63169456
2010-03-06,0.63128215
2010-03-14,0.6200472
2010-03-22,0.64856094
2010-03-30,0.68257874
2010-04-07,0.6566723
2010-04-15,0.7207334
2010-04-23,0.6695843
2010-05-01,0.69247544
2010-05-09,0.65124416
2010-05-17,0.59462345
2010-05-25,0.4865722
2010-06-02,0.44602752
2010-06-10,0.37694526
2010-06-18,0.3846154
2010-06-26,0.3646839
2010-07-04,0.30601522
2010-07-12,0.29095355
2010-07-20,0.27406353
2010-07-28,0.2629193
2010-08-05,0.24676484
2010-08-13,0.2970297
2010-08-21,0.2699345
2010-08-29,0.27014437
2010-09-06,0.2615594
2010-09-14,0.2532168
2010-09-22,0.25473684
2010-09-30,0.2568757
2010-10-08,0.33039925
2010-10-16,0.36015084
2010-10-24,0.40747607
2010-11-01,0.44612476
2010-11-09,0.5167262
2010-11-17,0.51232165
2010-11-25,0.55283844
2010-12-03,0.5203032
2010-12-11,0.5347369
2010-12-19,0.55284846
2010-12-27,0.56462383
2011-01-01,0.57639927
2011-01-09,0.58817464
2011-01-17,0.5828841
2011-01-25,0.58330595
2011-02-02,0.5755886
2011-02-10,0.53609544
2011-02-18,0.6293525
2011-02-26,0.6038257
2011-03-06,0.5961212
2011-03-14,0.63587826
2011-03-22,0.64358795
2011-03-30,0.65129757
2011-04-07,0.6896902
2011-04-15,0.6682594
2011-04-23,0.7192067
2011-05-01,0.66222
2011-05-09,0.624083
2011-05-17,0.51641935
2011-05-25,0.49482876
2011-06-02,0.46849883
2011-06-10,0.44277972
2011-06-18,0.35448056
2011-06-26,0.33980075
2011-07-04,0.31158394
2011-07-12,0.30436835
2011-07-20,0.27077055
2011-07-28,0.3079518
2011-08-05,0.2607665
2011-08-13,0.26516113
2011-08-21,0.26354286
2011-08-29,0.2552941
2011-09-06,0.24237473
2011-09-14,0.24817334
2011-09-22,0.24329741
2011-09-30,0.23060109
2011-10-08,0.23047437
2011-10-16,0.23576447
2011-10-24,0.2735632
2011-11-01,0.35423926
2011-11-09,0.40737107
2011-11-17,0.46050286
2011-11-25,0.5136347
2011-12-03,0.4617217
2011-12-11,0.5520242
2011-12-19,0.57561624
2011-12-27,0.5484087
2012-01-01,0.5484087
2012-01-09,0.5228717
2012-01-17,0.53668696
2012-01-25,0.56031364
2012-02-02,0.56730497
2012-02-10,0.5289679
2012-02-18,0.5422912
2012-02-26,0.5485701
2012-03-05,0.5512341
2012-03-13,0.5675539
2012-03-21,0.5783784
2012-03-29,0.503861
2012-04-06,0.5354269
2012-04-14,0.48709288
2012-04-22,0.56222945
2012-04-30,0.637366
2012-05-08,0.51643574
2012-05-16,0.5214507
2012-05-24,0.46210995
2012-06-01,0.3531678
2012-06-09,0.32908976
2012-06-17,0.31803405
2012-06-25,0.27780092
2012-07-03,0.27427137
2012-07-11,0.27142859
2012-07-19,0.24896695
2012-07-27,0.27727365
2012-08-04,0.2431942
2012-08-12,0.2386925
2012-08-20,0.24584365
2012-08-28,0.24033046
2012-09-05,0.2362949
2012-09-13,0.24141921
2012-09-21,0.2388974
2012-09-29,0.28557506
2012-10-07,0.31838566
2012-10-15,0.49588054
2012-10-23,0.5927582
2012-10-31,0.6739588
2012-11-08,0.665038
2012-11-16,0.6766724
2012-11-24,0.7209197
2012-12-02,0.7327384
2012-12-10,0.6313384
2012-12-18,0.71190417
2012-12-26,0.7110083
2013-01-01,0.72695214
2013-01-09,0.7162813
2013-01-17,0.748984
2013-01-25,0.74292564
2013-02-02,0.7360018
2013-02-10,0.71081144
2013-02-18,0.73984087
2013-02-26,0.7195318
2013-03-06,0.7489157
2013-03-14,0.72926164
2013-03-22,0.7384197
2013-03-30,0.7475778
2013-04-07,0.6875
2013-04-15,0.71014494
2013-04-23,0.7434135
2013-05-01,0.70071065
2013-05-09,0.64836156
2013-05-17,0.5517928
2013-05-25,0.4885588
2013-06-02,0.44431794
2013-06-10,0.38210553
2013-06-18,0.33116394
2013-06-26,0.31755614
2013-07-04,0.29212752
